搭乘路線名稱,搭乘附屬路線名稱,搭乘公車路線方向,站序資料,站牌代碼,站間距離
市區循環,市區循環,1,28,302764,715.39
市區循環,市區循環,1,29,302747,2640.48
市區循環,市區循環,1,30,302748,592.33
市區循環,市區循環,1,31,308003,310.42
陸海空線,陸海空線A,0,1,295300,
陸海空線,陸海空線A,0,2,302749,350.26 
陸海空線,陸海空線A,0,3,295296,556.43 
陸海空線,陸海空線A,0,4,302752,2652.63 
陸海空線,陸海空線A,0,5,302753,702.76 
陸海空線,陸海空線A,0,6,302762,965.17 
陸海空線,陸海空線A,0,7,295306,4717.72 
陸海空線,陸海空線A,1,1,295306,
陸海空線,陸海空線A,1,2,295307,950.26 
陸海空線,陸海空線A,1,3,295304,1624.33 
陸海空線,陸海空線A,1,4,295301,4665.25 
陸海空線,陸海空線A,1,5,302763,1004.89 
陸海空線,陸海空線A,1,6,302764,715.73 
陸海空線,陸海空線A,1,7,295299,2631.82 
陸海空線,陸海空線A,1,8,302748,602.80 
陸海空線,陸海空線A,1,9,295300,314.56 
陸海空線,陸海空線B,0,1,295300,
陸海空線,陸海空線B,0,2,302749,350.26 
陸海空線,陸海空線B,0,3,295299,568.33 
陸海空線,陸海空線B,0,4,302752,2645.27 
陸海空線,陸海空線B,0,5,302753,698.52 
陸海空線,陸海空線B,0,6,302762,965.17 
陸海空線,陸海空線B,0,7,302754,622.69 
陸海空線,陸海空線B,0,8,302755,257.58 
陸海空線,陸海空線B,0,9,302778,377.35 
陸海空線,陸海空線B,0,10,295308,522.23 
陸海空線,陸海空線B,1,1,295308,
陸海空線,陸海空線B,1,2,302779,889.08 
陸海空線,陸海空線B,1,3,302760,361.72 
陸海空線,陸海空線B,1,4,302761,237.95 
陸海空線,陸海空線B,1,5,295301,658.95 
陸海空線,陸海空線B,1,6,302763,1004.89 
陸海空線,陸海空線B,1,7,302764,715.39 
陸海空線,陸海空線B,1,8,295299,2632.16 
陸海空線,陸海空線B,1,9,302748,602.83 
陸海空線,陸海空線B,1,10,295300,315.80 
陸海空線,陸海空線C,0,1,295283,
陸海空線,陸海空線C,0,2,299269,726.05 
陸海空線,陸海空線C,0,3,295284,695.73 
陸海空線,陸海空線C,0,4,295286,617.46 
陸海空線,陸海空線C,0,5,295288,1300.89 
陸海空線,陸海空線C,0,6,302767,501.93 
陸海空線,陸海空線C,0,7,304226,450.41 
陸海空線,陸海空線C,0,8,295292,793.25 
陸海空線,陸海空線C,0,9,299271,745.25 
陸海空線,陸海空線C,0,10,302746,919.06 
陸海空線,陸海空線C,0,11,295296,1071.97 
陸海空線,陸海空線C,0,12,302748,594.59 
陸海空線,陸海空線C,0,13,295300,316.49 
陸海空線,陸海空線C,1,1,295300,
陸海空線,陸海空線C,1,2,302749,350.26 
陸海空線,陸海空線C,1,3,295299,563.69 
陸海空線,陸海空線C,1,4,302765,1058.19 
陸海空線,陸海空線C,1,5,299272,914.90 
陸海空線,陸海空線C,1,6,295293,737.75 
陸海空線,陸海空線C,1,7,295291,813.76 
陸海空線,陸海空線C,1,8,302744,551.11 
陸海空線,陸海空線C,1,9,295289,410.90 
陸海空線,陸海空線C,1,10,295287,1323.32 
陸海空線,陸海空線C,1,11,295285,601.48 
陸海空線,陸海空線C,1,12,299270,707.02 
陸海空線,陸海空線C,1,13,295283,836.35 
